Orientation - Roll: -0.01°, Pitch: -0.04°, Yaw: 240.22°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.07°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.07°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.07°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 240.07°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 240.07°
Orientation - Roll: 0.00°, Pitch: -0.03°, Yaw: 240.07°
Orientation - Roll: 0.00°, Pitch: -0.03°, Yaw: 240.07°
Orientation - Roll: 0.00°, Pitch: -0.03°, Yaw: 240.07°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.06°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.17°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.17°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.17°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.17°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.17°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 241.17°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.17°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.17°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 241.17°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 240.53°
Orientation - Roll: 0.01°, Pitch: -0.01°, Yaw: 240.53°
Orientation - Roll: 0.01°, Pitch: -0.01°, Yaw: 240.53°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 240.53°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 240.53°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 240.52°
Orientation - Roll: 0.01°, Pitch: -0.01°, Yaw: 240.53°
Orientation - Roll: 0.01°, Pitch: -0.01°, Yaw: 240.53°
Orientation - Roll: 0.01°, Pitch: -0.01°, Yaw: 240.53°
Orientation - Roll: 0.01°, Pitch: -0.01°, Yaw: 240.66°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 240.66°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 240.66°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 240.65°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.66°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.66°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.66°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.66°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.66°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.09°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 240.09°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 240.09°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.09°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.09°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.09°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.09°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.09°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 240.08°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 240.75°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 240.75°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.76°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.76°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.76°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.76°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.76°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.76°
Orientation - Roll: -0.02°, Pitch: 0.01°, Yaw: 240.75°
Orientation - Roll: -0.02°, Pitch: -0.00°, Yaw: 241.14°
Orientation - Roll: -0.02°, Pitch: -0.00°, Yaw: 241.14°
Orientation - Roll: -0.02°, Pitch: -0.00°, Yaw: 241.14°
Orientation - Roll: -0.02°, Pitch: -0.00°, Yaw: 241.14°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 241.14°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 241.14°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 241.14°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.15°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.15°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 239.95°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 239.95°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 239.95°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 239.95°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 239.96°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 239.96°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 239.96°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 239.96°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.85°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.84°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.84°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.84°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.84°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.84°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.85°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.85°
Orientation - Roll: -0.02°, Pitch: -0.03°, Yaw: 240.85°
Orientation - Roll: -0.02°, Pitch: -0.03°, Yaw: 240.64°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.64°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.64°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.64°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.64°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.64°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.63°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.63°
Orientation - Roll: -0.02°, Pitch: -0.00°, Yaw: 240.63°
Orientation - Roll: -0.02°, Pitch: -0.00°, Yaw: 241.38°
Orientation - Roll: -0.02°, Pitch: -0.00°, Yaw: 241.38°
Orientation - Roll: -0.02°, Pitch: 0.01°, Yaw: 241.37°
Orientation - Roll: -0.02°, Pitch: 0.01°, Yaw: 241.37°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 241.38°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 241.38°
Orientation - Roll: 0.00°, Pitch: -0.00°, Yaw: 241.38°
Orientation - Roll: 0.00°, Pitch: -0.00°, Yaw: 241.38°
Orientation - Roll: -0.01°, Pitch: 0.01°, Yaw: 241.38°
Orientation - Roll: -0.01°, Pitch: 0.01°, Yaw: 239.74°
Orientation - Roll: 0.00°, Pitch: -0.00°, Yaw: 239.74°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 239.75°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 239.75°
